feature,type,mutable,min,max,dyn_min,dyn_max
bytes_in_sum_s_1,int,False,0.0,2324.0,False,False
bytes_in_min_s_1,int,False,0.0,504.0,False,False
bytes_in_max_s_1,int,False,0.0,1820.0,False,False
bytes_out_sum_s_1,int,True,0.0,22690.0,True,False
bytes_out_min_s_1,int,True,0.0,22690.0,True,False
bytes_out_max_s_1,int,True,0.0,22690.0,True,False
pkts_in_sum_s_1,int,False,0.0,86.0,False,False
pkts_in_min_s_1,int,False,0.0,24.0,False,False
pkts_in_max_s_1,int,False,0.0,62.0,False,False
pkts_out_sum_s_1,int,True,0.0,122.0,True,False
pkts_out_min_s_1,int,True,0.0,122.0,True,False
pkts_out_max_s_1,int,True,0.0,122.0,True,False
duration_sum_s_1,real,True,0.0,923.0,True,False
duration_min_s_1,real,True,0.0,460.0,True,False
duration_max_s_1,real,True,0.0,463.0,True,False
tcp_sum_s_1,int,True,0.0,3571.0,True,False
udp_sum_s_1,int,True,0.0,1056.0,True,False
icmp_sum_s_1,int,True,0.0,22690.0,True,False
distinct_external_ips_s_1,int,False,0.0,8.0,False,False
distinct_src_port_s_1,int,False,0.0,2.0,False,False
distinct_dst_port_s_1,int,False,0.0,1.0,False,False
bytes_in_sum_d_1,int,False,0.0,1893.0,False,False
bytes_in_min_d_1,int,False,0.0,1893.0,False,False
bytes_in_max_d_1,int,False,0.0,1893.0,False,False
bytes_out_sum_d_1,int,True,0.0,33964.0,True,False
bytes_out_min_d_1,int,True,0.0,33964.0,True,False
bytes_out_max_d_1,int,True,0.0,33964.0,True,False
pkts_in_sum_d_1,int,False,0.0,12.0,False,False
pkts_in_min_d_1,int,False,0.0,12.0,False,False
pkts_in_max_d_1,int,False,0.0,12.0,False,False
pkts_out_sum_d_1,int,True,0.0,1213.0,True,False
pkts_out_min_d_1,int,True,0.0,1213.0,True,False
pkts_out_max_d_1,int,True,0.0,1213.0,True,False
duration_sum_d_1,real,True,0.0,12330.0,True,False
duration_min_d_1,real,True,0.0,12330.0,True,False
duration_max_d_1,real,True,0.0,12330.0,True,False
tcp_sum_d_1,int,True,0.0,5042.0,True,False
udp_sum_d_1,int,True,0.0,0.0,True,False
icmp_sum_d_1,int,True,0.0,33964.0,True,False
distinct_external_ips_d_1,int,False,0.0,20.0,False,False
distinct_src_port_d_1,int,False,0.0,2.0,False,False
distinct_dst_port_d_1,int,False,0.0,1.0,False,False
bytes_in_sum_s_3,int,False,0.0,0.0,False,False
